#article_name 	topic_name1,topic_prop1	topic_name2,topic_prop2...
Chrisye	music/rock,0.28191489361702127	music/orchestra,0.18617021276595744	war/ancient,0.09574468085106383	royalty,0.0851063829787234	family,0.06382978723404255	literature,0.06382978723404255	generic,0.05851063829787234	politics/art,0.05851063829787234	film,0.05851063829787234	empire/religion,0.047872340425531915
Cillian_Murphy	film,0.4339139344262295	music/rock,0.16956967213114754	family,0.11987704918032786	generic,0.11577868852459017	literature,0.07377049180327869	music/orchestra,0.033299180327868855	politics/art,0.025102459016393443	empire/religion,0.012295081967213115	royalty,0.012295081967213115	war/ancient,0.004098360655737705
Clemente_de_Dunblane	empire/religion,0.47724550898203594	generic,0.3143712574850299	royalty,0.0748502994011976	family,0.04251497005988024	politics/art,0.02694610778443114	war/ancient,0.02694610778443114	literature,0.015568862275449102	music/orchestra,0.007784431137724551	film,0.00718562874251497	music/rock,0.006586826347305389
Clements_R._Markham	war/ancient,0.35770609318996416	generic,0.2057347670250896	literature,0.13691756272401434	royalty,0.0960573476702509	politics/art,0.08745519713261649	family,0.053763440860215055	empire/religion,0.02795698924731183	music/orchestra,0.012903225806451613	film,0.011469534050179211	music/rock,0.01003584229390681
CM_Punk	politics/art,0.6971383147853736	music/rock,0.08956014838367779	film,0.08479067302596714	generic,0.0834658187599364	family,0.016693163751987282	empire/religion,0.009273979862215157	royalty,0.007419183889772125	war/ancient,0.006094329623741388	literature,0.00397456279809221	music/orchestra,0.001589825119236884
Coenredo_de_Mercia	empire/religion,0.6634844868735084	generic,0.16945107398568018	family,0.05489260143198091	royalty,0.03341288782816229	war/ancient,0.02028639618138425	literature,0.015513126491646777	music/rock,0.013126491646778043	music/orchestra,0.011933174224343675	politics/art,0.010739856801909307	film,0.007159904534606206
Colley_Cibber	literature,0.34285714285714286	film,0.1657142857142857	generic,0.14857142857142858	family,0.10285714285714286	music/orchestra,0.05142857142857143	music/rock,0.045714285714285714	empire/religion,0.04	politics/art,0.03428571428571429	war/ancient,0.03428571428571429	royalty,0.03428571428571429
Constantino_II_de_Escocia	empire/religion,0.5493827160493827	generic,0.1728395061728395	royalty,0.07818930041152264	literature,0.043209876543209874	family,0.03497942386831276	war/ancient,0.03292181069958848	politics/art,0.02880658436213992	music/orchestra,0.026748971193415638	film,0.01646090534979424	music/rock,0.01646090534979424
Cosmo_Gordon_Lang	generic,0.30264900662251654	royalty,0.2141280353200883	politics/art,0.12737306843267107	family,0.09668874172185431	literature,0.08874172185430464	empire/religion,0.08675496688741721	war/ancient,0.039293598233995586	film,0.017439293598233995	music/orchestra,0.016335540838852098	music/rock,0.010596026490066225
Cædwalla_de_Wessex	empire/religion,0.6753705010585744	generic,0.19689484827099507	family,0.04728299223712068	royalty,0.019054340155257588	literature,0.016937191249117856	politics/art,0.013408609738884969	film,0.011997177134791814	music/orchestra,0.0077628793225123505	music/rock,0.006351446718419196	war/ancient,0.004940014114326041
Damageplan	music/rock,0.5146198830409356	generic,0.15204678362573099	family,0.11988304093567251	politics/art,0.049707602339181284	film,0.043859649122807015	royalty,0.03508771929824561	literature,0.03216374269005848	music/orchestra,0.017543859649122806	war/ancient,0.017543859649122806	empire/religion,0.017543859649122806
Damon_Hill	film,0.6137387387387387	generic,0.22184684684684686	family,0.04335585585585586	royalty,0.038288288288288286	politics/art,0.024774774774774775	music/rock,0.019707207207207207	war/ancient,0.015765765765765764	literature,0.008445945945945946	music/orchestra,0.007882882882882882	empire/religion,0.006193693693693694
Dan_Leno	literature,0.28168089297439264	generic,0.1825344714379514	family,0.17760998030203545	film,0.14084044648719632	music/rock,0.09553512803676953	royalty,0.04990151017728168	music/orchestra,0.04300722258699934	politics/art,0.013788575180564675	war/ancient,0.007879185817465528	empire/religion,0.007222586999343401
Daniel_Boone	family,0.24437299035369775	literature,0.22508038585209003	generic,0.15755627009646303	royalty,0.10932475884244373	war/ancient,0.09646302250803858	empire/religion,0.04501607717041801	film,0.04180064308681672	music/rock,0.03536977491961415	politics/art,0.022508038585209004	music/orchestra,0.022508038585209004
