ARTICLE_NAME	Art	Business	Education	Explorers	Humanities	Law	Literature	Media	Music	Personal	Politics	Religion	Royalty	Science	Sports	Warfare	Other
Avery Brundage	0.0247188463315	0.0822384242288	0.0189776450419	0.00514932812215	0.00258886967791	0.029536994111	0.00790495301362	0.0048636501033	0.00118079067995	0.0608378302608	0.231420219633	0.000267436320004	0.0175078712023	2.29512860258e-05	0.158037885183	0.000742709423013	0.354003595382
Raymond Brownell	0.000127107986436	0.0341586433937	0.0947161975482	0.248991456044	0.000495063177659	0.00684831521003	0.000546777681227	0.000842047619065	0.000449856307197	0.111549212871	0.00186335967098	0.000568715067338	0.000788995100096	0.00192732126705	0.00390127675391	0.44375100253	0.0484746517716
Peter Jones (missionary)	0.00553121841437	0.0294403029694	0.057455495182	0.0481627628287	0.000368244214814	0.000676671645677	0.00211200910719	0.00386897270675	0.0493617857833	0.24765762385	0.0492617095976	0.134803971954	0.104675318465	0.000109378183955	0.00493328861409	0.00028782295048	0.261293423532
Epaminondas	0.0139264414115	0.00907485746677	0.0028740166777	0.00157047350437	0.110293443796	0.00155480349345	0.0132380814933	0.00422589225331	0.00288351973798	0.0955246709461	0.0268792502893	0.00159751150681	0.357651598791	0.00212182582335	0.00212769357518	0.0831952782143	0.27126064102
William III of England	0.00448412137936	0.00412564097848	0.00978704286712	0.00152149257161	0.00395532240192	0.00948969410057	0.00386912749722	0.0127938574388	0.00118031668132	0.00200391388495	0.0956700669576	0.0147617080641	0.46488326072	0.000151672522485	0.000626063920929	0.0106585190761	0.360038178937
Godsmack	0.000152048686671	0.0116179684874	0.000352519471604	0.000516064199933	0.00243256446225	0.000670193060369	0.00544806301327	0.00720729405699	0.718058211018	0.000514511067517	0.00110087594364	6.92244246848e-05	0.000666760959969	0.000235558370568	0.000616142698603	0.00887970490454	0.241462295174
Otto Becher	0.000257124314706	0.000344806086123	0.0775441070061	0.351318299331	0.000114371807529	0.00404200172305	0.000579685188057	0.0329034830458	0.000534494072526	0.0378693267164	0.00035046766948	0.000761940423957	0.000966364831025	0.000134140446885	0.00161078068802	0.378863952053	0.111804654596
Sam Loxton	0.00249316144013	0.00040550647694	0.00209917815075	0.00295156631739	0.000131359341395	0.000501019810129	9.02287681525e-05	0.00043142240735	0.000741945891942	0.115220329364	0.0655389921625	3.86661286373e-05	0.000246082999644	2.00581180085e-05	0.557376804911	0.0173879950053	0.234325682707
Bart King	0.000583979855366	0.000898807158759	0.0051168689145	0.00053182135965	0.000121143990853	0.00181228890379	0.00849860868718	0.00148092352761	0.00704051568385	0.239758434473	0.000208697354177	0.000142552846318	0.000562493547719	8.25175217227e-05	0.448522443215	0.000587255880705	0.28405064708
Stan Coveleski	0.000118591836689	0.000541422946567	0.000519356935682	3.82574902587e-05	0.000159547201557	0.000200197139025	0.000456923111718	0.000944079224295	0.000356785398705	0.137066900283	0.000321410152071	6.14710592941e-05	0.000645885338889	0.000278739467734	0.733166515219	0.000122353545148	0.12500156365
