Name	literature	family	generic	music/orchestra	war/ancient	empire/religion	royalty	music/rock	film	politics/art
Nigel (obispo de Ely)	0.04	0.05	0.22	0.03	0.05	0.35	0.12	0.02	0.09	0.05
Joe Sakic	0.01	0.04	0.11	0.01	0.03	0.01	0.02	0.03	0.72	0.02
Richard Hakluyt	0.32	0.05	0.05	0.07	0.08	0.05	0.11	0.15	0.04	0.09
Russell T Davies	0.13	0.12	0.17	0.01	0.01	0.01	0.01	0.07	0.47	0.01
Richard Dannatt	0.04	0.07	0.31	0.01	0.36	0.03	0.09	0.03	0.02	0.04
André Kertész	0.08	0.11	0.25	0.02	0.02	0.01	0.02	0.02	0.05	0.42
Flea	0.01	0.1	0.2	0.02	0.02	0.01	0.01	0.58	0.05	0.01
Godsmack	0.02	0.06	0.18	0.01	0.01	0.01	0.01	0.67	0.02	0.01
Ima Hogg	0.05	0.25	0.16	0.03	0.03	0.03	0.04	0.01	0.03	0.35
Albert Speer	0.03	0.13	0.32	0.02	0.39	0.02	0.02	0.0	0.01	0.04
Eduardo III de Inglaterra	0.01	0.05	0.24	0.01	0.04	0.13	0.48	0.01	0.01	0.02
William Henry Harrison	0.04	0.12	0.16	0.02	0.15	0.03	0.08	0.02	0.06	0.32
Tool	0.02	0.05	0.2	0.02	0.01	0.01	0.01	0.64	0.02	0.03
Franklin Knight Lane	0.06	0.09	0.1	0.09	0.11	0.07	0.1	0.07	0.1	0.22
Bill Russell	0.01	0.04	0.17	0.01	0.01	0.01	0.01	0.01	0.7	0.02
El Turco	0.04	0.17	0.28	0.26	0.03	0.03	0.04	0.02	0.07	0.06
William Hanna	0.07	0.05	0.22	0.02	0.01	0.01	0.01	0.05	0.51	0.04
Roman Vishniac	0.08	0.17	0.09	0.14	0.16	0.05	0.06	0.04	0.05	0.16
William Walton	0.06	0.07	0.19	0.51	0.02	0.02	0.03	0.03	0.03	0.03
Enrique de Uppsala	0.12	0.09	0.1	0.06	0.09	0.15	0.15	0.08	0.06	0.09
Harriet Arbuthnot	0.07	0.22	0.27	0.01	0.02	0.03	0.34	0.01	0.01	0.01
Trasíbulo	0.01	0.03	0.3	0.0	0.54	0.08	0.01	0.01	0.01	0.01
Motörhead	0.02	0.04	0.12	0.01	0.01	0.0	0.01	0.73	0.04	0.03
David Lovering	0.03	0.05	0.16	0.02	0.01	0.01	0.02	0.62	0.05	0.03
Maynard James Keenan	0.04	0.12	0.17	0.01	0.01	0.02	0.01	0.55	0.05	0.03
Maximiano	0.0	0.03	0.28	0.01	0.08	0.55	0.04	0.0	0.01	0.01
Abbas Kiarostami	0.14	0.09	0.06	0.09	0.04	0.02	0.03	0.09	0.12	0.32
Nick Drake	0.04	0.15	0.22	0.04	0.01	0.0	0.02	0.48	0.03	0.01
Alphege	0.03	0.07	0.23	0.02	0.07	0.5	0.03	0.01	0.01	0.03
Shelton Benjamin	0.01	0.01	0.06	0.0	0.01	0.01	0.0	0.07	0.12	0.71
Katie Holmes	0.1	0.19	0.14	0.01	0.02	0.03	0.04	0.07	0.35	0.05
Sarah Churchill	0.07	0.08	0.1	0.04	0.03	0.03	0.55	0.03	0.02	0.04
Etelredo de Mercia	0.01	0.04	0.16	0.01	0.01	0.71	0.04	0.01	0.01	0.01
Yagan	0.04	0.43	0.27	0.02	0.1	0.03	0.03	0.02	0.04	0.03
Murray Maxwell	0.02	0.06	0.25	0.01	0.48	0.02	0.09	0.01	0.01	0.06
Piotr Ilich Chaikovski y Los Cinco	0.01	0.07	0.34	0.53	0.01	0.01	0.01	0.01	0.01	0.01
AC DC	0.04	0.08	0.12	0.01	0.02	0.01	0.01	0.64	0.06	0.01
The Wiggles	0.05	0.07	0.11	0.04	0.07	0.04	0.03	0.3	0.23	0.07
Werner Mölders	0.02	0.08	0.15	0.03	0.53	0.02	0.04	0.02	0.04	0.08
Heliogábalo	0.07	0.14	0.17	0.03	0.01	0.43	0.06	0.03	0.01	0.03
El Lissitzky	0.07	0.09	0.27	0.13	0.06	0.01	0.01	0.01	0.02	0.33
Radiohead	0.02	0.03	0.18	0.03	0.01	0.01	0.01	0.67	0.03	0.02
Joy Division	0.03	0.1	0.19	0.03	0.01	0.01	0.01	0.56	0.04	0.02
Zelda Fitzgerald	0.12	0.2	0.1	0.07	0.06	0.05	0.11	0.08	0.14	0.08
Aspasia de Mileto	0.13	0.22	0.23	0.02	0.32	0.05	0.01	0.01	0.01	0.01
Aelle de Sussex	0.02	0.05	0.22	0.01	0.01	0.63	0.02	0.01	0.01	0.02
Lisa Gherardini	0.02	0.25	0.19	0.02	0.02	0.05	0.05	0.01	0.02	0.37
Guillermo de Tiro	0.07	0.05	0.14	0.04	0.02	0.37	0.19	0.02	0.02	0.07
Tom Pryce	0.04	0.14	0.19	0.03	0.03	0.02	0.05	0.03	0.45	0.02
Kate Bush	0.05	0.09	0.14	0.09	0.01	0.02	0.01	0.52	0.03	0.03
Ann Bannon	0.44	0.2	0.25	0.01	0.01	0.0	0.01	0.03	0.04	0.01
Nathaniel Parker Willis	0.39	0.15	0.17	0.03	0.04	0.02	0.04	0.06	0.08	0.03
Walther Model	0.01	0.03	0.17	0.04	0.62	0.02	0.03	0.03	0.02	0.04
Piotr Ilich Chaikovski y el Círculo Beliáyev	0.02	0.09	0.31	0.51	0.02	0.01	0.01	0.01	0.01	0.01
Pixies	0.01	0.06	0.15	0.01	0.0	0.01	0.01	0.71	0.02	0.01
Stan Musial	0.02	0.04	0.17	0.02	0.04	0.02	0.02	0.02	0.61	0.05
Evelyn Waugh	0.35	0.16	0.1	0.04	0.11	0.03	0.07	0.04	0.05	0.05
Nancy Cartwright	0.1	0.08	0.17	0.03	0.02	0.01	0.02	0.08	0.45	0.05
Matthew Brettingham	0.04	0.1	0.27	0.03	0.06	0.08	0.08	0.03	0.02	0.29
Nigel Kneale	0.19	0.07	0.16	0.01	0.02	0.0	0.02	0.07	0.44	0.02
Murasaki Shikibu	0.33	0.18	0.13	0.08	0.05	0.08	0.07	0.04	0.02	0.01
Olivia Manning	0.42	0.17	0.25	0.01	0.06	0.01	0.03	0.01	0.03	0.02
Opeth	0.02	0.07	0.13	0.02	0.01	0.01	0.01	0.69	0.03	0.01
Clements R. Markham	0.14	0.05	0.21	0.01	0.36	0.03	0.1	0.01	0.01	0.09
John Dee	0.29	0.2	0.22	0.02	0.03	0.04	0.1	0.03	0.05	0.03
Georg Forster	0.29	0.11	0.18	0.08	0.17	0.02	0.05	0.01	0.02	0.07
The Greencards	0.04	0.04	0.12	0.03	0.01	0.01	0.01	0.65	0.08	0.02
Virginia Eliza Clemm	0.09	0.6	0.22	0.01	0.01	0.01	0.02	0.01	0.02	0.02
Silverchair	0.03	0.06	0.15	0.02	0.01	0.01	0.01	0.62	0.06	0.03
Ana de Dinamarca	0.02	0.09	0.09	0.04	0.04	0.04	0.62	0.02	0.02	0.02
Garret Hobart	0.1	0.07	0.06	0.07	0.15	0.06	0.14	0.07	0.13	0.14
Thích Quảng Đức	0.01	0.1	0.26	0.01	0.43	0.06	0.02	0.02	0.03	0.06
Magic Johnson	0.02	0.06	0.21	0.01	0.02	0.01	0.01	0.04	0.61	0.02
Guillermo IV del Reino Unido	0.01	0.02	0.26	0.01	0.02	0.01	0.63	0.01	0.02	0.01
Caspar David Friedrich	0.07	0.14	0.2	0.27	0.05	0.03	0.06	0.01	0.01	0.17
Piotr Ilich Chaikovski	0.03	0.15	0.29	0.47	0.01	0.02	0.02	0.0	0.0	0.01
John Knox	0.14	0.05	0.15	0.01	0.04	0.09	0.4	0.07	0.02	0.04
Mary Martha Sherwood	0.51	0.2	0.17	0.01	0.02	0.02	0.04	0.01	0.01	0.01
