Name	music	literature + other	orchestra	family life	church/royalty	sports	royalty	film/tv	politics	military
Anton Tchekhov	0.0	0.15	0.35	0.31	0.0	0.01	0.02	0.03	0.02	0.1
William McGregor	0.01	0.02	0.02	0.21	0.03	0.39	0.04	0.02	0.1	0.15
Cædwalla	0.05	0.06	0.06	0.06	0.43	0.04	0.09	0.03	0.05	0.13
Ben Paschal	0.15	0.07	0.08	0.06	0.06	0.24	0.07	0.1	0.08	0.08
Vivien Leigh	0.04	0.02	0.09	0.1	0.01	0.01	0.06	0.54	0.06	0.07
Walter Model	0.01	0.02	0.02	0.1	0.02	0.03	0.04	0.01	0.07	0.68
Ed Stelmach	0.04	0.04	0.05	0.07	0.02	0.17	0.05	0.07	0.38	0.11
George II de Grande-Bretagne	0.01	0.01	0.01	0.07	0.02	0.01	0.54	0.01	0.2	0.12
Big Star	0.49	0.04	0.07	0.06	0.05	0.07	0.04	0.05	0.06	0.06
Harry Cobby	0.06	0.07	0.06	0.07	0.05	0.07	0.08	0.06	0.09	0.37
Guillaume de Corbeil	0.01	0.07	0.01	0.13	0.55	0.01	0.07	0.01	0.02	0.13
Alexandra de Danemark	0.02	0.01	0.02	0.13	0.03	0.02	0.65	0.04	0.02	0.07
Ernst Lindemann	0.03	0.03	0.05	0.15	0.02	0.03	0.07	0.02	0.12	0.48
Marie-Amélie du Brésil	0.01	0.03	0.03	0.22	0.02	0.0	0.57	0.01	0.02	0.09
George III du Royaume-Uni	0.01	0.02	0.01	0.05	0.03	0.01	0.5	0.02	0.21	0.15
Douglas Jardine	0.03	0.03	0.04	0.05	0.11	0.48	0.03	0.12	0.04	0.06
Guy Fawkes	0.03	0.05	0.02	0.13	0.04	0.03	0.34	0.09	0.08	0.19
Austin Nichols (acteur)	0.16	0.03	0.03	0.07	0.03	0.11	0.04	0.46	0.05	0.02
John Knox	0.03	0.29	0.03	0.1	0.1	0.03	0.23	0.04	0.05	0.1
