name_eng	name_spa
Gaius Carrinas (consul 43 BC)	Gayo Carrinas (cónsul 43 a. C.)
Wajdi Mouawad	Wajdi Mouawad
Peter Odemwingie	Peter Odemwingie
Carlos Casimiro	Carlos Casimiro
Roberto Cáceres	Roberto Cáceres
Tiz Zaqyah	Tiz Zaqyah
Alvin Singh (footballer)	Alvin Singh
Youssef Mohamad	Youssef Mohamad
Kristof Vandewalle	Kristof Vandewalle
Delma Kollar	Delma Kollar
Brian Boru	Brian Boru
Antonio Blanco Freijeiro	Antonio Blanco Freijeiro
Infanta Cristina, Duchess of Palma de Mallorca	Cristina de Borbón y Grecia
Pedro Francisco Bonó	Pedro Francisco Bonó
Theo Jörgensmann	Theo Jörgensmann
Ladislav Bezák	Ladislav Bezák
Dorothy Buxton	Dorothy Buxton
Nolan Bushnell	Nolan Bushnell
Agustín Caloca Cortés	Agustín Caloca Cortés
Juan de los Ángeles	Juan de los Ángeles
Georges C.Chr. Rouy	Georges C.Chr. Rouy
Isaac Lindley	Isaac Lindley
Mario Recordón	Mario Recordón
John Jairo Lozano	John Lozano
Manuel José Yrarrázaval Larraín	Manuel José Yrarrázaval Larraín
Ronnie Fernández	Ronnie Fernández
Henri-Émile Bazin	Henri Bazin
Sebastian Koch	Sebastian Koch
Onesimus	Onésimo
Karl Walter Lindenlaub	Karl Walter Lindenlaub
Christoph Leitl	Christoph Leitl
Ana María Martínez	Ana María Martínez Colón
Isidore Mankofsky	Isidore Mankofsky
Jhonatan Solano	Jhonatan Solano
Les Dawson	Les Dawson
4 Non Blondes	4 Non Blondes
Jennie Augusta Brownscombe	Jennie Augusta Brownscombe
Jerzy Matuszkiewicz	Jerzy Matuszkiewicz
Coco Jones	Coco Jones
Will Barton	Will Barton
Cristian Rosso	Cristian Rosso
Donna Vekić	Donna Vekić
Elsa Fornero	Elsa Fornero
Glenn Gould	Glenn Gould
Jean Hersholt	Jean Hersholt
Albert Puigdollers	Albert Puigdollers Saperas
Melissa Varón	Melissa Varón
Ricardo Trigilli	Ricardo Trigilli
Kyle Kuric	Kyle Kuric
Saulo Benavente	Saulo Benavente
Manuel Simpertegui	Manuel Simpertegui
Carlos Moratorio	Carlos Alberto Moratorio
James Kirkwood, Jr.	James Kirkwood, Jr.
Victoria Montero	Victoria Montero
Richard José Blanco	Richard Blanco
Peter II, Count of Savoy	Pedro II de Saboya
Daou al-Salhine al-Jadak	Daou al Salhine al Jadak
Pastor Velázquez	Pastor Velázquez
Lipit-Enlil	Lipit-Enlil
Kan Ek'	Canek
Edilberto Domarchi	Edilberto Domarchi
Gregorio Camacho	Gregorio Camacho
Magdalene of Jülich-Cleves-Berg	Magdalena de Cléveris
Adolfo Pérez Zelaschi	Adolfo Pérez Zelaschi
Minako Kotobuki	Minako Kotobuki
Hed PE	(həd) p.e.
Phil Katz	Phil Katz
Douglas Estay	Douglas Estay
Joan Ángel Román	Joan Ángel Román
Henry II of France	Enrique II de Francia
Lionel Jospin	Lionel Jospin
Göran Persson	Göran Persson
Amilcare Ponchielli	Amilcare Ponchielli
Fabiola Ramos	Fabiola Ramos
William Keir Carr	William Keir Carr
Ruymán Hernández	Ruymán Hernández
Alp Arslan	Alp Arslan
Rowan Williams	Rowan Williams
Maximilian Kolbe	Maximiliano Kolbe
Élie Chouraqui	Élie Chouraqui
Sebastián Varas	Sebastián Varas
Paul Turner (bassist)	Paul Turner
Shagarakti-Shuriash	Shagarakti-Shuriash
Juan Bernat	Juan Bernat Velasco
Tudiya	Tudia
Luis "Funky" Marrero	Funky (cantante)
Gyges of Lydia	Giges de Lidia
Rafael Montoro	Rafael Montoro
Francisco del Plano	Francisco del Plano
Soraya Sáenz de Santamaría	Soraya Sáenz de Santamaría
Charles Chamberlain Hurst	Charles Chamberlain Hurst
Jeff Foote	Jeff Foote
Dougie Thomson	Dougie Thomson
Utagawa Toyoharu	Utagawa Toyoharu
Érik Orsenna	Érik Orsenna
Gunderic	Gunderico
Josef Beran	Josef Beran
Mojmir I	Mojmír I
Marcel Delgado	Marcel Delgado
Karl-Heinz Schnellinger	Karl-Heinz Schnellinger
Didier Défago	Didier Défago
Pierre Vidal-Naquet	Pierre Vidal-Naquet
Wolfgang Ambros	Wolfgang Ambros
Andrew Weibrecht	Andrew Weibrecht
Mitchel Musso	Mitchel Musso
Rudolf Martin	Rudolf Martin
Tiffany (South Korean singer)	Tiffany SNSD
Ansbert of Rouen	Ansberto
Eleni Papadopulos-Eleopulos	Eleni Papadopulos-Eleopulos
Antonio Ozores	Antonio Ozores
Anastasius I of Antioch	Anastasio de Antioquía
Louis Delgrès	Louis Delgrès
Evripidis Bakirtzis	Evripidis Mpakirtzis
Jimmy Santiago Baca	Jimmy Santiago Baca
Eric Saade	Eric Saade
Svetlana Shkolina	Svetlana Shkolina
Giannis Potouridis	Giannis Potouridis
John Huston	John Huston
Murray Leinster	Murray Leinster
Hristo Boychev	Jristo Boichev
Luis Álvarez de Cervera	Luis Álvarez Cervera
Antoni Castells i Oliveres	Antoni Castells
Émile Gaston Chassinat	Émile Gaston Chassinat
María Josefa Lastiri	María Josefa Lastiri Lozano
Guillermo Franco (Ecuadorian general)	Guillermo Franco
Zakaria Labyad	Zakaria Labyad
Áurea of San Millán	Oria (santa)
Hamid Olimjon	Hamid Alimjan
Octave Garnier	Octave Garnier
Fritz Schaudinn	Fritz Schaudinn
Alexandra Byrne	Alexandra Byrne
Sico of Benevento	Sico I de Benevento
Hokusai	Katsushika Hokusai
Tommy Kron	Tommy Kron
Jean Michel Jarre	Jean-Michel Jarre
Marilyn Manson (band)	Marilyn Manson (banda)
Shane Victorino	Shane Victorino
Alonso de Burgos	Alonso de Burgos
Danya Abrams	Danya Abrams
George Rosenkranz	George Rosenkranz
John I, Count Palatine of Zweibrücken	Juan I del Palatinado-Zweibrücken
Máté Zalka	Máté Zalka
Sooyoung	Sooyoung
Ernst Wilimowski	Ernest Wilimowski
Francisco Javier García Fajer	Francisco Javier García Fajer
Armin Falk	Armin Falk
Russell Martin (footballer)	Russell Kenneth Alexander Martin
José Leonardo Morales	Leo Morales
Carmo de Souza	Carmo de Souza
Flaminio Bertoni	Flaminio Bertoni
Adrien Théaux	Adrien Théaux
Gavin Harrison	Gavin Harrison
Louis Émond	Louis Émond
Pavel Grachev	Pável Grachov
Cammán mac Amlaíb	Cammán mac Amlaíb
Sam Easton	Sam Easton
Fausto Landini	Fausto Landini
Juan Bautista de Toledo	Juan Bautista de Toledo
Glenway Wescott	Glenway Wescott
Jean Dessès	Jean Desses
Julián Mateos	Julián Mateos
Zhou Bichang	Zhou Bichang
Antonio de los Ríos y Rosas	Antonio de los Ríos Rosas
Leo Franco	Leo Franco
Francesco Tavano	Francesco Tavano
Louis Frolla	Louis Frolla
Tom Brown (tennis)	Tom Brown
Arnold Aletrino	Arnold Aletrino
Frank Freeman	Frank Freeman
Christian Obodo	Christian Obodo
Jorge Manicera	Jorge Manicera
Max Wilson	Max Wilson
Javier Hernández Gutiérrez	Javier Hernández Gutiérrez
Alex Rodrigo Dias da Costa	Alex Rodrigo Dias da Costa
Annibal Camoux	Annibal Camoux
Fawzi Al Shammari	Fawzi Al Shammari
Miguel Cabrera (painter)	Miguel Cabrera
Robert Ritter	Robert Ritter
Al Berto	Al Berto
Ezra Pound	Ezra Pound
Rafael Cadenas	Rafael Cadenas
Linda Henry	Linda Henry
David Di Michele	David Di Michele
Hope Hampton	Hope Hampton
Philipp Degen	Philipp Degen
Owen Nares	Owen Nares
Asmahan	Asmahan
Tony Stewart (American football)	Tony Stewart (fútbol americano)
Jaak Uudmäe	Jaak Uudmäe
Álex Cruz	Álex Cruz
Abdon Pamich	Abdon Pamich
Jean Kluger	Jean Kluger
Italo Zilioli	Italo Zilioli
Erwin Hahn	Erwin L. Hahn
Lytton Strachey	Lytton Strachey
Cédric Villani	Cédric Villani
Kenny Ortega	Kenny Ortega
Fernando Colunga	Fernando Colunga
Barry Hayles	Barry Hayles
Faber Drive	Faber Drive
Viridomarus	Viridómaro
