#article_name 	topic_name1,topic_prop1	topic_name2,topic_prop2...
Carsten_Borchgrevink	family life,0.6446937821411874	military,0.11968209443665265	politics,0.09256661991584852	literature + other,0.039738195418419824	royalty,0.028050490883590462	sports,0.019635343618513323	film/tv,0.0182328190743338	music,0.01729780271154745	church/royalty,0.013090229079008883	orchestra,0.0070126227208976155
Caspar_David_Friedrich	literature + other,0.4104541559554413	family life,0.24592973436161097	orchestra,0.11910882604970009	military,0.10454155955441302	royalty,0.05312767780634105	church/royalty,0.02570694087403599	sports,0.01456726649528706	politics,0.011139674378748929	music,0.009425878320479864	film/tv,0.005998286203941731
Catherine_de_Médicis	royalty,0.49124293785310735	military,0.17966101694915254	family life,0.14350282485875707	literature + other,0.07288135593220339	church/royalty,0.0519774011299435	orchestra,0.019491525423728815	politics,0.012429378531073447	sports,0.012146892655367232	film/tv,0.012146892655367232	music,0.004519774011299435
Ceawlin	church/royalty,0.6173913043478261	family life,0.13043478260869565	military,0.06086956521739131	literature + other,0.043478260869565216	sports,0.03768115942028986	music,0.028985507246376812	royalty,0.02608695652173913	politics,0.020289855072463767	film/tv,0.017391304347826087	orchestra,0.017391304347826087
Cenred_de_Mercie	church/royalty,0.7275064267352185	family life,0.07583547557840617	military,0.05398457583547558	literature + other,0.042416452442159386	politics,0.03598971722365039	music,0.019280205655526992	royalty,0.017994858611825194	film/tv,0.010282776349614395	orchestra,0.010282776349614395	sports,0.006426735218508998
Charles_Atangana	military,0.12307692307692308	orchestra,0.12307692307692308	music,0.12307692307692308	family life,0.1076923076923077	film/tv,0.1076923076923077	royalty,0.1076923076923077	sports,0.07692307692307693	literature + other,0.07692307692307693	politics,0.07692307692307693	church/royalty,0.07692307692307693
Charles_Carroll_le_Colon	politics,0.37037037037037035	family life,0.15873015873015872	royalty,0.14285714285714285	church/royalty,0.07407407407407407	orchestra,0.05291005291005291	music,0.05291005291005291	film/tv,0.047619047619047616	military,0.042328042328042326	literature + other,0.031746031746031744	sports,0.026455026455026454
Charles_Holden	orchestra,0.20945945945945946	military,0.16891891891891891	politics,0.11486486486486487	film/tv,0.11486486486486487	literature + other,0.0945945945945946	music,0.07432432432432433	church/royalty,0.06756756756756757	family life,0.060810810810810814	royalty,0.05405405405405406	sports,0.04054054054054054
Charles_II_d'Angleterre	royalty,0.5188527231711247	military,0.16113438607798905	family life,0.12310667096358363	church/royalty,0.07379954882371899	politics,0.036738640025781505	film/tv,0.03351595230422172	literature + other,0.015468901063486949	music,0.014179825974863036	sports,0.013213019658395102	orchestra,0.009990331936835321
Charles_Stewart	military,0.12903225806451613	politics,0.11290322580645161	royalty,0.11290322580645161	family life,0.0967741935483871	sports,0.0967741935483871	literature + other,0.0967741935483871	film/tv,0.0967741935483871	music,0.0967741935483871	church/royalty,0.08064516129032258	orchestra,0.08064516129032258
Charles_Villiers_Stanford	orchestra,0.5769230769230769	film/tv,0.13122171945701358	music,0.06561085972850679	royalty,0.049773755656108594	family life,0.04751131221719457	literature + other,0.033936651583710405	church/royalty,0.03167420814479638	politics,0.02262443438914027	sports,0.020361990950226245	military,0.020361990950226245
Charlie_Macartney	sports,0.4375	film/tv,0.08333333333333333	royalty,0.07291666666666667	music,0.07291666666666667	literature + other,0.0625	politics,0.0625	family life,0.052083333333333336	military,0.052083333333333336	church/royalty,0.052083333333333336	orchestra,0.052083333333333336
Charlotte_Augusta_de_Galles	royalty,0.44234930448222565	family life,0.25193199381761977	military,0.1375579598145286	film/tv,0.05749613601236476	music,0.04544049459041731	politics,0.02534775888717156	orchestra,0.013292117465224112	church/royalty,0.010510046367851623	literature + other,0.009582689335394128	sports,0.006491499227202473
Chester_Alan_Arthur	politics,0.7404529307282416	military,0.1183392539964476	family life,0.05661634103019538	royalty,0.020648312611012434	film/tv,0.017984014209591476	literature + other,0.015097690941385435	sports,0.012655417406749556	music,0.009325044404973356	orchestra,0.004662522202486678	church/royalty,0.0042184724689165185
Chinua_Achebe	literature + other,0.22477064220183487	film/tv,0.1926605504587156	military,0.16972477064220184	family life,0.1536697247706422	music,0.08027522935779817	politics,0.052752293577981654	sports,0.04128440366972477	orchestra,0.03211009174311927	church/royalty,0.02981651376146789	royalty,0.022935779816513763
