ARTICLE_NAME	Art	Business_and_economics	Exploration	Law_and_crime	Life	Literature	Music	Politics	Popular_culture	Science_and_technology	Sports	TV_and_film	War_and_military
Philip José Farmer	0.029822029822	0.0218855218855	0.018278018278	0.0406445406445	0.0664983164983	0.41810966811	0.00721500721501	0.0121452621453	0.0260942760943	0.0707070707071	0.0482202982203	0.0328282828283	0.00649350649351
Philip K. Dick	0.0216557017544	0.0187317251462	0.0094115497076	0.0978161549708	0.0369608918129	0.312591374269	0.0257675438596	0.0281889619883	0.0268640350877	0.0571546052632	0.0118329678363	0.0646929824561	0.0047057748538
Philip Rivers	0.00937451974796	0.00391885661595	0.00307361303212	0.015982787767	0.0501767327493	0.00484094052559	0.0077608729061	0.00945136007377	0.0242047026279	0.00676194867066	0.743737513447	0.0052251421546	0.0026894114031
Philip Roth	0.0124888492417	0.00683913172762	0.00446030330062	0.0168500346912	0.100505501041	0.287540886114	0.00644266032312	0.0567945286946	0.0886113589057	0.0231935771632	0.0434136187927	0.0461889186242	0.00346912478937
Philip Sidney	0.0585069444444	0.00920138888889	0.0182291666667	0.0427083333333	0.113715277778	0.257465277778	0.025	0.0380208333333	0.00607638888889	0.0289930555556	0.0251736111111	0.0159722222222	0.0758680555556
Philipp Lenard	0.0915032679739	0.00495147553971	0.017825311943	0.0338680926916	0.034660328778	0.0421865715983	0.00950683303624	0.0271340859576	0.00574371162606	0.444246385423	0.031293325411	0.0283224400871	0.00891265597148
Philippe de Commines	0.0381263616558	0.0108932461874	0.0110748002905	0.0938634713145	0.138888888889	0.0575526506899	0.0105301379811	0.0668119099492	0.0063543936093	0.0159767610748	0.0528322440087	0.0152505446623	0.0194262890341
Philippe Noiret	0.0378955114054	0.00883002207506	0.0275938189845	0.0846210448859	0.0871964679912	0.0540838852097	0.0228108903606	0.0290654893304	0.0209713024283	0.0202354672553	0.0533480500368	0.288079470199	0.0121412803532
Philippe Pinel	0.0243457090688	0.0198823290728	0.0155542030162	0.0891999729492	0.054169202678	0.0330695881518	0.00317846757287	0.0598498681274	0.00710083181173	0.222019341313	0.0143369175627	0.00371948332995	0.0114289578684
Phillip E. Johnson	0.048665791776	0.00831146106737	0.00448381452318	0.0448381452318	0.0127952755906	0.0211067366579	0.00524934383202	0.0919728783902	0.00984251968504	0.279090113736	0.0207786526684	0.0114829396325	0.0114829396325
Phillis Wheatley	0.0386473429952	0.0210378681627	0.0331930808789	0.0339722611812	0.155524388343	0.220508025557	0.0119993766558	0.0629577684276	0.00997350786972	0.0201028517999	0.0271154745208	0.00857098332554	0.0134019011999
Philo Farnsworth	0.0839237057221	0.100333030578	0.0177414471692	0.0420224038753	0.078110808356	0.0133212231305	0.0106569785044	0.0112624886467	0.0341507720254	0.309839539812	0.0255525280048	0.088646684832	0.0151983045716
Phoolan Devi	0.00804795926747	0.0164244066683	0.0552681284389	0.326681448633	0.119651802579	0.0142892338014	0.00911554570091	0.105526812844	0.00722673893406	0.00895130163423	0.0175741151351	0.0181489693685	0.0722673893406
Pier Paolo Pasolini	0.0330540037244	0.00644009931719	0.00667287399131	0.100558659218	0.0813935443824	0.168296089385	0.00845747982619	0.113050900062	0.0189323401614	0.038252638113	0.0238206083178	0.0737895716946	0.01621663563
Pier Vittorio Tondelli	0.0312246553122	0.0227088402271	0.0279805352798	0.0340632603406	0.0705596107056	0.273317112733	0.0259529602595	0.0239253852393	0.0243309002433	0.0519059205191	0.0458231954582	0.0174371451744	0.0214922952149
