#article_name 	topic_name1,topic_prop1	topic_name2,topic_prop2...
Brian_Eaton	military,0.7600246761258482	family,0.1307834669956817	sports,0.027760641579272053	royalty,0.017890191239975324	music,0.014805675508945095	politics,0.01418877236273905	cricket,0.01418877236273905	explorers,0.010487353485502776	literature,0.004935225169648365	church/royalty,0.004935225169648365
Brian_Horrocks	military,0.6239495798319328	family,0.2134453781512605	royalty,0.037815126050420166	sports,0.03235294117647059	literature,0.023949579831932775	politics,0.019327731092436976	cricket,0.015126050420168067	explorers,0.014705882352941176	music,0.010084033613445379	church/royalty,0.009243697478991597
Bronwyn_Bancroft	literature,0.5754290876242095	cricket,0.12375790424570912	military,0.08130081300813008	family,0.07317073170731707	politics,0.05420054200542006	explorers,0.026196928635953028	royalty,0.023486901535682024	music,0.02168021680216802	sports,0.015356820234869015	church/royalty,0.005420054200542005
Bronwyn_Oliver	literature,0.5459221160911095	family,0.19397501836884642	cricket,0.09551800146950772	music,0.04335047759000735	military,0.03232916972814107	sports,0.024246877296105803	church/royalty,0.02204261572373255	politics,0.016164584864070537	explorers,0.01322556943423953	royalty,0.01322556943423953
Bruce_Kingsbury	military,0.6191446028513238	family,0.17515274949083504	explorers,0.054989816700611	sports,0.034623217922606926	music,0.028513238289205704	literature,0.02240325865580448	cricket,0.02240325865580448	royalty,0.015274949083503055	politics,0.014256619144602852	church/royalty,0.013238289205702648
Brunette_Coleman	literature,0.5581127733026467	family,0.28461833525124663	explorers,0.03222094361334868	royalty,0.031070195627157654	music,0.028768699654775604	sports,0.020713463751438434	church/royalty,0.016877637130801686	military,0.013425393172228616	cricket,0.007671653241273495	politics,0.00652090525508247
Bruno_Maddox	literature,0.3386411889596603	explorers,0.3237791932059448	family,0.2054140127388535	music,0.04883227176220807	cricket,0.022823779193205943	sports,0.01751592356687898	royalty,0.01751592356687898	military,0.012208067940552018	politics,0.009554140127388535	church/royalty,0.0037154989384288748
Bryan_Gunn	sports,0.5030476873431338	family,0.2649695231265687	cricket,0.06202940121907494	literature,0.04195051989960559	royalty,0.03442093940480459	music,0.027967013266403728	military,0.02509860164933668	politics,0.024381498745069917	church/royalty,0.008963786303334529	explorers,0.007171029042667623
C._D._Howe	politics,0.5381697486960645	family,0.3082029397818872	military,0.06211474632527264	royalty,0.04504504504504504	literature,0.012328117591275486	explorers,0.010905642484589853	cricket,0.008297771455666193	sports,0.007112375533428165	music,0.005452821242294926	church/royalty,0.002370791844476055
Calvin_Coolidge	politics,0.6272577996715928	family,0.2438423645320197	literature,0.03065134099616858	royalty,0.020251778872468526	explorers,0.019978106185002738	military,0.0180623973727422	church/royalty,0.012862616310892173	cricket,0.010946907498631636	sports,0.008483853311439518	music,0.007662835249042145
Caroline_of_Ansbach	royalty,0.632661996497373	family,0.2574430823117338	literature,0.0297723292469352	explorers,0.016637478108581436	church/royalty,0.01576182136602452	politics,0.0148861646234676	sports,0.009632224168126095	cricket,0.008318739054290718	military,0.00788091068301226	music,0.0070052539404553416
