ARTICLE_NAME	Art	Business_and_economics	Exploration	Law_and_crime	Life	Literature	Music	Politics	Popular_culture	Science_and_technology	Sports	TV_and_film	War_and_military
José Bosingwa	0.00735835172921	0.0125091979397	0.00883002207506	0.0345842531273	0.0497915133677	0.0125091979397	0.0242825607064	0.0328673043905	0.0328673043905	0.0117733627667	0.642874662742	0.0343389747363	0.0117733627667
José Bozzano	0.0363188673438	0.052323791936	0.0760233918129	0.0267774699908	0.14188981225	0.0461680517082	0.0443213296399	0.0277008310249	0.0101569713758	0.0277008310249	0.0677131425054	0.0273930440135	0.153277931671
José Carlos Mariátegui	0.028384509866	0.0747071858183	0.0190988709507	0.0178326474623	0.0574021314762	0.153529597974	0.014139495621	0.116598079561	0.00918012029123	0.00780837817875	0.0428405613591	0.00896908304316	0.0139284583729
José Carreras	0.0208825847124	0.0126083530339	0.0271867612293	0.0157604412924	0.147754137116	0.0181245074862	0.315602836879	0.016548463357	0.0327029156816	0.0224586288416	0.0571315996848	0.0882584712372	0.0177304964539
José Cecilio del Valle	0.00530328140537	0.0229072294037	0.0275107722904	0.0368283430928	0.0762346702022	0.0171988362244	0.00408794608331	0.29090708209	0.00165727543918	0.0187087982912	0.0169410378227	0.00648178838434	0.110116745848
José de la Paz Herrera	0.00403706762088	0.00926690522066	0.00779888063125	0.00688136526287	0.0711991925865	0.00807413524177	0.0102761721259	0.0567942013029	0.028901734104	0.0110101844206	0.518212680062	0.0112854390311	0.0367006147353
José Eustasio Rivera	0.0177015250545	0.0130718954248	0.0767973856209	0.0462962962963	0.102124183007	0.302832244009	0.0177015250545	0.0345860566449	0.0147058823529	0.0228758169935	0.0661764705882	0.0239651416122	0.0340413943355
José Félix Estigarribia	0.0169436298469	0.019550342131	0.0254154447703	0.00977517106549	0.0853698273053	0.028999674161	0.0247637666993	0.120886282177	0.010752688172	0.0218312153796	0.0684261974585	0.0172694688824	0.255457803845
José Francisco Álvarez	0.00777777777778	0.0114814814815	0.0448148148148	0.03	0.0614814814815	0.0162962962963	0.0240740740741	0.128148148148	0.0133333333333	0.0162962962963	0.0603703703704	0.0181481481481	0.389259259259
José Gil Fortoul	0.0246913580247	0.0510288065844	0.0164609053498	0.0378600823045	0.111111111111	0.104526748971	0.0534979423868	0.111111111111	0.0156378600823	0.0337448559671	0.0864197530864	0.0337448559671	0.0288065843621
José Graziano da Silva	0.00694444444444	0.111111111111	0.00828853046595	0.0239695340502	0.111111111111	0.043458781362	0.0226254480287	0.280017921147	0.035394265233	0.0400985663082	0.0557795698925	0.0181451612903	0.00672043010753
José Guillermo Cortines	0.0197044334975	0.0207991242474	0.0147783251232	0.0120415982485	0.0842911877395	0.0311986863711	0.0886699507389	0.0136836343733	0.0892172961138	0.0262725779967	0.0815544608648	0.404488232074	0.0103995621237
José Lima	0.00906344410876	0.0208123531386	0.0208123531386	0.0134273246056	0.0996978851964	0.0130916414904	0.072171869755	0.0127559583753	0.0258475998657	0.0137630077207	0.539107082914	0.0245048674052	0.0100704934542
José López Portillo	0.0143846205552	0.112993210997	0.0198964845063	0.0318612623513	0.120387174834	0.0273576661961	0.0127713920817	0.258519862876	0.00887275660415	0.0073939638368	0.0350205014452	0.0213752772736	0.0251394770451
José Luis Appleyard	0.0314195944016	0.0174235932591	0.018851756641	0.0239931448158	0.179662953442	0.266495287061	0.0314195944016	0.0205655526992	0.0268494715795	0.0145672664953	0.0437017994859	0.0205655526992	0.012853470437
José Luis Zorrilla de San Martín	0.301903497123	0.0110668437362	0.0305444887118	0.016821602479	0.142983621071	0.0283311199646	0.0265604249668	0.0314298362107	0.0119521912351	0.016821602479	0.0575475874281	0.0239043824701	0.0115095174856
José Manuel Marroquín	0.0152359717577	0.0185804533631	0.049795615013	0.0274990709773	0.140096618357	0.106651802304	0.0282422891119	0.212931995541	0.0260126347083	0.0226681531029	0.0624303232999	0.0152359717577	0.0999628390933
José Mari Bakero	0.00701365817645	0.0103359173127	0.0103359173127	0.00996677740864	0.047249907715	0.0147655961609	0.0269472129937	0.0136581764489	0.00812107788852	0.0143964562569	0.609080841639	0.0188261351052	0.0129198966408
José María Albiñana	0.0214108631959	0.0274960558936	0.017354068064	0.0597250394411	0.14491773721	0.0921794004958	0.0175794455713	0.167230110435	0.0202839756592	0.0394410637818	0.0421455938697	0.0101419878296	0.0455262564796
José María Cano	0.113648504274	0.0110844017094	0.0106837606838	0.0160256410256	0.111111111111	0.0413995726496	0.361778846154	0.0088141025641	0.0245726495726	0.0231036324786	0.0418002136752	0.0450053418803	0.00360576923077
José María Iglesias	0.00695847362514	0.0157126823793	0.0181818181818	0.0222222222222	0.0565656565657	0.0563411896745	0.0181818181818	0.448709315376	0.00628507295174	0.0114478114478	0.0428731762065	0.0114478114478	0.0700336700337
José María Morelos	0.0047680970958	0.0118768964023	0.0718393295767	0.0445311371189	0.106545296922	0.0159514521023	0.00624187256177	0.0732553099263	0.00684872128305	0.013119491403	0.0146799595434	0.00632856523624	0.347695419737
José María Obando	0.0153711023276	0.0171277997365	0.030303030303	0.0421607378129	0.0803689064559	0.0254721124286	0.0360122968819	0.275801493193	0.00922266139657	0.0149319279754	0.0689503732982	0.0206411945542	0.264822134387
José María Rosa	0.00895001091465	0.023793931456	0.00873171796551	0.0358000436586	0.196900240122	0.122680637415	0.0203012442698	0.136433093211	0.00851342501637	0.0117878192534	0.0432220039293	0.0342719930146	0.0502073783017
José Martí	0.0181048328223	0.0124105708863	0.0475981895167	0.0473061760841	0.137392320047	0.0640969484596	0.0208789604322	0.104394802161	0.00598627536867	0.0205869469996	0.0268652358008	0.0146006716309	0.154913126004
José Miguel Infante	0.0131421744325	0.0143369175627	0.0131421744325	0.0175228992433	0.0812425328554	0.0450019912386	0.0286738351254	0.245718837117	0.00677021107129	0.0223018717642	0.0673038630028	0.0250896057348	0.0346475507766
José Natividad González Parás	0.0120614035088	0.110014619883	0.0124269005848	0.00730994152047	0.194444444444	0.0233918128655	0.0354532163743	0.282529239766	0.0135233918129	0.0522660818713	0.0650584795322	0.0142543859649	0.0142543859649
José Pedro Montero	0.0101906640368	0.0631163708087	0.0279421433268	0.0164365548981	0.18704799474	0.0180802103879	0.0239973701512	0.25969756739	0.00887573964497	0.0410913872452	0.0502958579882	0.0184089414859	0.0282708744247
José Ramos-Horta	0.00932684509327	0.0113544201135	0.029602595296	0.0628548256285	0.0786699107867	0.0235198702352	0.0259529602595	0.328061638281	0.0109489051095	0.0158150851582	0.0908353609084	0.0332522303325	0.128142741281
José Raúl Capablanca	0.0169220945083	0.0152458492976	0.00502873563218	0.00798212005109	0.0838122605364	0.0283365261814	0.0130108556833	0.0135696040868	0.00550766283525	0.02969348659	0.424568965517	0.00742337164751	0.0221104725415
José Reyes (shortstop)	0.0041986687148	0.0172043010753	0.00491551459293	0.00440348182284	0.0545826932924	0.00829493087558	0.0399385560676	0.00512032770097	0.0227342549923	0.010752688172	0.70343061956	0.0144393241167	0.00901177675371
José Rijo	0.0069033530572	0.0269559500329	0.00920447074293	0.0746219592373	0.0489809335963	0.0111768573307	0.025969756739	0.0548980933596	0.0144641683103	0.0243261012492	0.539776462853	0.0463510848126	0.00821827744905
José Rizal	0.0151717983043	0.00736278447122	0.0767514502454	0.0428380187416	0.189201249442	0.0651494868362	0.0176260597947	0.113342257921	0.0116019634092	0.0129406514949	0.0430611334226	0.0178491744757	0.057786702365
José Santos Zelaya	0.00802246289611	0.0782190132371	0.084636983554	0.0212595266747	0.0649819494585	0.0172482952266	0.0244685118331	0.240673886883	0.0156438026474	0.0196550340955	0.0633774568793	0.0212595266747	0.111512234256
José Trinidad Cabañas	0.00968523002421	0.0182943233791	0.0263653483992	0.0185633575464	0.111918213613	0.0274414850686	0.0177562550444	0.215765402206	0.00968523002421	0.0145278450363	0.0648372343288	0.0145278450363	0.187785848803
José Valverde	0.00891435848456	0.0105062082139	0.00795924864693	0.00795924864693	0.0226042661573	0.0143266475645	0.0372492836676	0.0133715377268	0.0120980579433	0.0162368672397	0.696911811525	0.0251512257243	0.0133715377268
José Zalaquett	0.0103842159917	0.0259605399792	0.0119418483904	0.209241952233	0.0784008307373	0.0280373831776	0.033748701973	0.166147455867	0.0114226375909	0.0321910695742	0.0545171339564	0.021287642783	0.0415368639668
Josh Groban	0.0139416983523	0.0118293198141	0.0126742712294	0.0228136882129	0.132657372201	0.0291508238276	0.293620616815	0.0101394169835	0.056189269117	0.0207013096747	0.0954795099282	0.162653147444	0.0223912125053
Josh Homme	0.00888888888889	0.00867724867725	0.00888888888889	0.00804232804233	0.165291005291	0.0217989417989	0.40126984127	0.00740740740741	0.0419047619048	0.0175661375661	0.066455026455	0.018835978836	0.00952380952381
Josh Klinghoffer	0.00911321416053	0.0080616894497	0.0129688047669	0.00981423063442	0.0697511391518	0.0255871012969	0.609183315808	0.0080616894497	0.0140203294777	0.0210304942166	0.0802663862601	0.0266386260077	0.01261829653
Josh Lucas	0.0126655152562	0.028209556707	0.0305123776626	0.0120898100173	0.0869314910766	0.0293609671848	0.0328151986183	0.0259067357513	0.0166954519286	0.0322394933794	0.134139320668	0.388601036269	0.0166954519286
Josh McEachran	0.00566171266808	0.0136824722812	0.00542580797358	0.00566171266808	0.0254777070064	0.0108516159472	0.0193441849493	0.0068412361406	0.0155697098372	0.00778485491861	0.698513800425	0.0106157112527	0.00943618778014
Josh Peck	0.0115654688145	0.0132176786452	0.0169351507641	0.0107393638992	0.0896323833127	0.0165220983065	0.0450227178852	0.00991325898389	0.0363486162743	0.0396530359356	0.0755885997522	0.519206939281	0.0107393638992
